match_nr,home/away,player_name,player_position,minutes_played,attempted_shots,shots_on_goal,goals,assists,totat_passes,key_passes,pass_completion,saves,tackles,blocks,interceptions,conceded_goals,total_duels,won_duels,attempted_dribbles,successful_dribbles,cards,game_won,game_result,rating
172,away,Fabian Schär,D,90,1,0,0,0,77,0,64,0,0,0,4,0,9,4,0,0,1,lost,2-1,6
172,away,Nico Elvedi,D,90,1,0,0,0,75,1,70,0,2,0,3,0,11,5,0,0,1,lost,2-1,6.9
172,away,Ricardo Rodríguez,D,87,0,0,0,0,50,3,37,0,0,0,1,0,2,1,1,1,0,lost,2-1,7.2
172,away,Djibril Sow,M,68,0,0,0,0,22,1,17,0,0,0,1,0,8,4,0,0,0,lost,2-1,6.2
172,away,Remo Freuler,M,90,0,0,0,0,68,0,61,0,2,0,2,0,9,2,0,0,0,lost,2-1,6.6
172,away,Granit Xhaka,M,90,1,0,0,0,87,2,70,0,3,0,2,0,13,10,1,1,0,lost,2-1,7.3
172,away,Ruben Vargas,M,87,2,2,0,0,27,0,24,0,0,0,0,0,5,0,1,0,0,lost,2-1,6.5
172,away,Noah Okafor,F,68,1,1,1,0,12,2,7,0,1,0,1,0,5,1,0,0,0,lost,2-1,7.7
172,away,Breel Embolo,F,89,4,3,0,0,15,1,9,0,2,0,0,0,9,4,1,0,0,lost,2-1,6.9
172,away,Jordan Lotomba,D,11,0,0,0,0,7,0,5,0,0,0,1,0,1,1,0,0,0,lost,2-1,6.7
172,away,Steven Zuber,M,22,0,0,0,0,18,1,14,0,0,0,0,0,1,1,0,0,0,lost,2-1,6.6
172,away,Xherdan Shaqiri,M,22,0,0,0,0,14,1,13,0,0,0,0,0,3,0,0,0,0,lost,2-1,6.2
172,away,Mario Gavranović,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,2-1,0
172,away,Haris Seferović,F,11,1,0,0,0,6,0,4,0,0,0,0,0,1,0,0,0,0,lost,2-1,6
172,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,2-1,0
172,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,2-1,0
172,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,2-1,0
172,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,2-1,0
172,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,2-1,0
172,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,2-1,0
172,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,2-1,0
172,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,2-1,0
172,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,2-1,0
172,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,2-1,0
173,home,Unai Simón,G,90,0,0,0,0,42,0,40,1,0,0,0,1,0,0,0,0,0,draw,1-1,6.7
173,home,César Azpilicueta,D,90,1,0,0,0,59,0,53,0,4,0,2,0,10,7,1,1,0,draw,1-1,7.2
173,home,Diego Llorente,D,90,0,0,0,0,74,0,67,0,0,0,2,0,7,2,0,0,1,draw,1-1,6.7
173,home,Pau Torres,D,90,0,0,0,0,85,0,78,0,0,0,1,0,6,3,1,1,0,draw,1-1,6.9
173,home,Jordi Alba,D,90,2,0,0,0,67,0,53,0,0,0,2,0,6,0,2,0,0,draw,1-1,6.3
173,home,Carlos Soler,M,63,2,1,0,0,31,0,25,0,0,0,0,0,5,3,2,2,0,draw,1-1,6.9
173,home,Sergio Busquets,M,90,0,0,0,0,67,1,63,0,2,0,1,0,9,5,0,0,1,draw,1-1,7.2
173,home,Gavi,M,81,0,0,0,0,54,2,51,0,1,0,2,0,10,5,1,1,0,draw,1-1,7
173,home,Ferran Torres,F,63,0,0,0,0,17,0,11,0,0,0,0,0,8,2,3,1,0,draw,1-1,6.3
173,home,Álvaro Morata,F,70,2,1,1,0,23,0,17,0,2,0,0,0,7,6,1,1,0,draw,1-1,7.7
173,home,Pablo Sarabia,F,90,2,0,0,1,38,1,30,0,3,0,0,0,11,6,3,1,1,draw,1-1,7.3
